"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2017-02-16",164.779999,164.970001,162.330002,163.649994,3191600,152.251663
"2017-02-17",159,160.160004,156.490005,157.619995,12033600,146.641647
"2017-02-21",157.619995,160.820007,157.520004,160.570007,5419000,149.386215
"2017-02-22",160.910004,161.779999,159.639999,160.570007,2725300,149.386215
"2017-02-23",161.330002,162.600006,160.690002,162.600006,2459600,151.274811
"2017-02-24",162.669998,163.089996,161.740005,163.059998,2715700,151.702789
"2017-02-27",163.160004,165.460007,162.809998,165.380005,4071800,153.861206
"2017-02-28",165.470001,166.759995,164.899994,165.380005,4382100,153.861206
"2017-03-01",166.720001,168.600006,166.350006,167.940002,3514200,156.242889
"2017-03-02",168.320007,168.429993,166.960007,167.309998,1889800,155.656738
"2017-03-03",167.309998,168.449997,166.619995,168.199997,2254400,156.484772
"2017-03-06",167.429993,169.350006,167.130005,168.699997,2576500,156.949951
"2017-03-07",168.449997,169.360001,167.929993,168.300003,2702300,156.57782
"2017-03-08",167.509995,168.460007,166.800003,167.910004,2048200,156.797272
"2017-03-09",168.149994,169.070007,167.740005,168.009995,3631400,156.890625
"2017-03-10",168.419998,170,168.059998,169.979996,3716600,158.730225
"2017-03-13",169.990005,170.929993,169.550003,170.210007,3130200,158.945038
"2017-03-14",169.660004,170.179993,168.5,169.059998,2522600,157.871109
"2017-03-15",169.360001,171.970001,169.289993,171.779999,2807600,160.411102
"2017-03-16",172.070007,172.139999,170.220001,171.300003,3138600,159.962906
"2017-03-17",171.089996,171.539993,169.589996,169.699997,5622900,158.468781
"2017-03-20",169.929993,170.240005,167.919998,168,3928600,156.881317
"2017-03-21",168.669998,168.820007,167.059998,167.699997,4953100,156.601151
"2017-03-22",168.130005,168.380005,165.630005,167.029999,2999800,155.975479
"2017-03-23",166.229996,166.929993,164.770004,165.289993,3947400,154.350647
"2017-03-24",166.130005,167.399994,164.350006,165,5243900,154.079819
"2017-03-27",163.990005,165.110001,163.309998,164.600006,4383000,153.706345
"2017-03-28",164.580002,166.070007,163.839996,165.350006,7327100,154.406723
"2017-03-29",164.660004,164.970001,162.740005,163.440002,5900400,152.623093
"2017-03-30",163.649994,165.929993,163.460007,164.990005,2993800,154.070541
"2017-03-31",164.639999,165.100006,163.75,164.009995,3496100,153.155396
"2017-04-03",164.619995,166.139999,164.25,165.589996,3473700,154.630814
"2017-04-04",165.869995,166.449997,164.789993,164.970001,2886000,154.051804
"2017-04-05",165.759995,167.259995,165.220001,165.369995,3541600,154.425354
"2017-04-06",165.449997,166.020004,164.839996,165.339996,2923600,154.397354
"2017-04-07",164.960007,166.5,164.619995,166.020004,2927800,155.032364
"2017-04-10",166.190002,167,165.279999,165.479996,3234900,154.52803
"2017-04-11",164.889999,165.839996,164.600006,165.830002,3172900,154.854965
"2017-04-12",166.320007,166.419998,164.600006,165.559998,2978700,154.602798
"2017-04-13",164.949997,165.649994,164.669998,164.960007,1979800,154.042526
"2017-04-17",164.990005,167.419998,164.960007,167.179993,4396700,156.115555
"2017-04-18",170.059998,170.229996,167.699997,168.589996,5526200,157.432251
"2017-04-19",169.589996,171.190002,168.690002,169.25,4703400,158.048599
"2017-04-20",169.520004,172.190002,168.369995,171.539993,3652100,160.186996
"2017-04-21",172.130005,172.619995,170.470001,171.160004,2982300,159.832138
"2017-04-24",172.660004,173.160004,171.699997,172.330002,2830300,160.924744
"2017-04-25",173.5,174.740005,173.190002,174.039993,3394700,162.521561
"2017-04-26",174.089996,175.649994,173.979996,174.380005,2817500,162.839066
"2017-04-27",174.070007,176.070007,174.020004,174.630005,2438600,163.072479
"2017-04-28",174.610001,175,173.910004,174.880005,2010800,163.305969
"2017-05-01",175,176.139999,174.089996,174.589996,2709700,163.035156
"2017-05-02",174.910004,175.369995,170.270004,174.139999,4951000,162.614929
"2017-05-03",173.75,174.300003,171.860001,172.539993,3622200,161.120819
"2017-05-04",173.050003,174.210007,172.380005,174.020004,2585200,162.502899
"2017-05-05",174.539993,174.880005,173.309998,174.119995,2189000,162.596268
"2017-05-08",173.929993,174.559998,173.570007,174.440002,2505900,162.895081
"2017-05-09",174.100006,174.770004,172.729996,173.240005,1653700,161.77449
"2017-05-10",173.039993,173.639999,172.460007,173.389999,1568700,161.914551
"2017-05-11",172.759995,173.860001,171.669998,173.320007,1901300,161.849182
"2017-05-12",172.639999,173.389999,171.520004,171.809998,2335400,160.439133
"2017-05-15",171.789993,172,170.229996,171.529999,2831400,160.177673
"2017-05-16",170.669998,171,167.25,168.119995,4343700,156.993362
"2017-05-17",168.119995,170.389999,166.649994,168.860001,4442300,157.684387
"2017-05-18",168.25,173.979996,167.869995,171.449997,3908000,160.102936
